payroll_id,employee_id,hospital_id,hospital_name,payroll_month,regular_hours,overtime_hours,hourly_pay_rate,regular_pay,overtime_pay,bonus,gross_pay,tax_amount,benefits_deduction,net_pay,payment_status
PAY00000017,EMP000003,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,2026-04,165,21,54.19,8941.35,1706.99,0.0,10648.34,2111.8,329.02,8207.52,Paid
PAY00000018,EMP000003,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,2026-03,165,8,54.19,8941.35,650.28,0.0,9591.63,2248.96,309.04,7033.63,Paid
PAY00000019,EMP000004,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-08,172,2,75.9,13054.8,227.7,0.0,13282.5,2312.41,192.79,10777.3,Paid
PAY00000020,EMP000004,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-07,131,28,75.9,9942.9,3187.8,0.0,13130.7,2165.26,348.03,10617.41,Paid
PAY00000021,EMP000004,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-06,164,34,75.9,12447.6,3870.9,0.0,16318.5,3348.28,369.41,12600.81,Paid
PAY00000022,EMP000004,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-05,136,22,75.9,10322.4,2504.7,0.0,12827.1,3103.84,389.06,9334.2,Paid
PAY00000023,EMP000004,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-04,132,7,75.9,10018.8,796.95,0.0,10815.75,1888.49,218.83,8708.43,Paid
PAY00000024,EMP000004,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-03,166,1,75.9,12599.4,113.85,0.0,12713.25,3043.46,164.08,9505.71,Paid
PAY00000025,EMP000005,220071,MASSACHUSETTS GENERAL HOSPITAL,2026-08,120,20,47.14,5656.8,1414.2,0.0,7071.0,1435.79,321.57,5313.64,Paid
PAY00000026,EMP000005,220071,MASSACHUSETTS GENERAL HOSPITAL,2026-07,123,14,47.14,5798.22,989.94,0.0,6788.16,1245.19,349.11,5193.86,Paid
PAY00000027,EMP000005,220071,MASSACHUSETTS GENERAL HOSPITAL,2026-06,144,31,47.14,6788.16,2192.01,0.0,8980.17,2233.11,352.1,6394.96,Paid
PAY00000028,EMP000005,220071,MASSACHUSETTS GENERAL HOSPITAL,2026-05,162,15,47.14,7636.68,1060.65,0.0,8697.33,1893.75,401.69,6401.89,Paid
PAY00000029,EMP000005,220071,MASSACHUSETTS GENERAL HOSPITAL,2026-04,157,5,47.14,7400.98,353.55,2212.7,9967.23,2467.96,350.4,7148.87,Paid
PAY00000030,EMP000005,220071,MASSACHUSETTS GENERAL HOSPITAL,2026-03,167,34,47.14,7872.38,2404.14,0.0,10276.52,2231.06,387.02,7658.44,Paid
PAY00000031,EMP000006,220002,MOUNT AUBURN HOSPITAL,2026-08,176,27,78.9,13886.4,3195.45,0.0,17081.85,3444.19,237.48,13400.18,Paid
PAY00000032,EMP000006,220002,MOUNT AUBURN HOSPITAL,2026-07,165,28,78.9,13018.5,3313.8,0.0,16332.3,2897.89,442.0,12992.41,Paid
PAY00000033,EMP000006,220002,MOUNT AUBURN HOSPITAL,2026-06,133,0,78.9,10493.7,0.0,0.0,10493.7,2432.55,411.7,7649.45,Paid
PAY00000034,EMP000006,220002,MOUNT AUBURN HOSPITAL,2026-05,120,9,78.9,9468.0,1065.15,1814.14,12347.29,2983.0,125.86,9238.43,Paid
PAY00000035,EMP000006,220002,MOUNT AUBURN HOSPITAL,2026-04,128,32,78.9,10099.2,3787.2,356.3,14242.7,2904.67,204.03,11134.0,Paid
PAY00000036,EMP000006,220002,MOUNT AUBURN HOSPITAL,2026-03,158,8,78.9,12466.2,946.8,0.0,13413.0,3299.34,243.12,9870.54,Paid
PAY00000037,EMP000007,220101,NEWTON-WELLESLEY HOSPITAL,2026-08,145,14,53.61,7773.45,1125.81,0.0,8899.26,1806.82,187.06,6905.38,Paid
PAY00000038,EMP000007,220101,NEWTON-WELLESLEY HOSPITAL,2026-07,124,20,53.61,6647.64,1608.3,1377.27,9633.21,1987.25,211.18,7434.78,Paid
PAY00000039,EMP000007,220101,NEWTON-WELLESLEY HOSPITAL,2026-06,176,21,53.61,9435.36,1688.71,0.0,11124.07,1858.4,391.48,8874.19,Paid
PAY00000040,EMP000007,220101,NEWTON-WELLESLEY HOSPITAL,2026-05,167,26,53.61,8952.87,2090.79,0.0,11043.66,2272.76,409.98,8360.92,Paid
PAY00000041,EMP000007,220101,NEWTON-WELLESLEY HOSPITAL,2026-04,122,35,53.61,6540.42,2814.52,0.0,9354.94,2085.65,356.09,6913.2,Paid
PAY00000042,EMP000007,220101,NEWTON-WELLESLEY HOSPITAL,2026-03,155,23,53.61,8309.55,1849.55,2370.53,12529.63,2974.29,236.84,9318.5,Paid
PAY00000043,EMP000008,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",2026-08,151,27,65.01,9816.51,2632.91,2347.03,14796.45,3516.61,415.47,10864.37,Paid
PAY00000044,EMP000008,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",2026-07,153,5,65.01,9946.53,487.58,0.0,10434.11,1834.52,272.93,8326.66,Paid
PAY00000045,EMP000008,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",2026-06,165,2,65.01,10726.65,195.03,0.0,10921.68,2393.62,436.58,8091.48,Paid
PAY00000046,EMP000008,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",2026-05,175,25,65.01,11376.75,2437.88,1195.71,15010.34,3325.7,340.99,11343.65,Paid
PAY00000047,EMP000008,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",2026-04,173,29,65.01,11246.73,2827.94,0.0,14074.67,2507.48,330.22,11236.97,Paid
PAY00000048,EMP000008,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",2026-03,176,27,65.01,11441.76,2632.91,351.52,14426.19,3282.74,309.67,10833.78,Paid
PAY00000049,EMP000009,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,2026-08,146,12,57.56,8403.76,1036.08,0.0,9439.84,2235.17,408.33,6796.34,Paid
PAY00000050,EMP000009,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,2026-07,175,21,57.56,10073.0,1813.14,0.0,11886.14,2419.57,215.7,9250.87,Paid
PAY00000051,EMP000009,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,2026-06,146,6,57.56,8403.76,518.04,0.0,8921.8,1977.57,297.37,6646.86,Paid
PAY00000052,EMP000009,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,2026-05,166,13,57.56,9554.96,1122.42,917.64,11595.02,2280.79,335.33,8978.9,Paid
PAY00000053,EMP000009,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,2026-04,173,16,57.56,9957.88,1381.44,0.0,11339.32,2133.02,199.21,9007.09,Paid
PAY00000054,EMP000009,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,2026-03,156,33,57.56,8979.36,2849.22,0.0,11828.58,2374.85,272.26,9181.47,Processing
PAY00000055,EMP000010,224039,WHITTIER PAVILION,2026-08,145,3,58.35,8460.75,262.58,0.0,8723.33,1611.68,423.45,6688.2,Paid
PAY00000056,EMP000010,224039,WHITTIER PAVILION,2026-07,136,33,58.35,7935.6,2888.32,0.0,10823.92,2247.68,317.94,8258.3,Paid
PAY00000057,EMP000010,224039,WHITTIER PAVILION,2026-06,158,9,58.35,9219.3,787.72,0.0,10007.02,2101.13,215.53,7690.36,Paid
PAY00000058,EMP000010,224039,WHITTIER PAVILION,2026-05,141,28,58.35,8227.35,2450.7,2373.07,13051.12,2171.83,360.11,10519.18,Paid
PAY00000059,EMP000010,224039,WHITTIER PAVILION,2026-04,149,11,58.35,8694.15,962.78,0.0,9656.93,2117.05,243.89,7295.99,Paid
PAY00000060,EMP000010,224039,WHITTIER PAVILION,2026-03,156,28,58.35,9102.6,2450.7,2451.66,14004.96,2495.61,194.29,11315.06,Paid
PAY00000061,EMP000011,221303,ATHOL MEMORIAL HOSPITAL,2026-08,149,16,40.52,6037.48,972.48,0.0,7009.96,1551.24,261.76,5196.96,Paid
PAY00000062,EMP000011,221303,ATHOL MEMORIAL HOSPITAL,2026-07,142,25,40.52,5753.84,1519.5,0.0,7273.34,1749.62,337.17,5186.55,On Hold
PAY00000063,EMP000011,221303,ATHOL MEMORIAL HOSPITAL,2026-06,169,4,40.52,6847.88,243.12,0.0,7091.0,1243.25,205.71,5642.04,Paid
PAY00000064,EMP000011,221303,ATHOL MEMORIAL HOSPITAL,2026-05,167,33,40.52,6766.84,2005.74,1232.92,10005.5,1865.12,166.19,7974.19,Paid
PAY00000065,EMP000011,221303,ATHOL MEMORIAL HOSPITAL,2026-04,152,6,40.52,6159.04,364.68,0.0,6523.72,1455.34,234.38,4834.0,Paid
PAY00000066,EMP000011,221303,ATHOL MEMORIAL HOSPITAL,2026-03,173,6,40.52,7009.96,364.68,0.0,7374.64,1360.58,344.58,5669.48,Paid
PAY00000067,EMP000012,220065,BAYSTATE NOBLE HOSPITAL,2026-08,136,8,61.91,8419.76,742.92,0.0,9162.68,1581.44,332.98,7248.26,Paid
PAY00000068,EMP000012,220065,BAYSTATE NOBLE HOSPITAL,2026-07,155,26,61.91,9596.05,2414.49,0.0,12010.54,2580.67,308.15,9121.72,Paid
PAY00000069,EMP000012,220065,BAYSTATE NOBLE HOSPITAL,2026-06,151,4,61.91,9348.41,371.46,0.0,9719.87,1741.5,405.28,7573.09,Paid
PAY00000070,EMP000012,220065,BAYSTATE NOBLE HOSPITAL,2026-05,150,5,61.91,9286.5,464.32,0.0,9750.82,1727.44,368.59,7654.79,Paid
PAY00000071,EMP000012,220065,BAYSTATE NOBLE HOSPITAL,2026-04,148,13,61.91,9162.68,1207.24,0.0,10369.92,1892.65,149.25,8328.02,Paid
PAY00000072,EMP000012,220065,BAYSTATE NOBLE HOSPITAL,2026-03,161,32,61.91,9967.51,2971.68,0.0,12939.19,2239.31,409.34,10290.54,Paid
PAY00000073,EMP000013,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-08,169,0,50.23,8488.87,0.0,0.0,8488.87,2062.03,202.24,6224.6,Paid
PAY00000074,EMP000013,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-07,123,10,50.23,6178.29,753.45,0.0,6931.74,1542.99,208.0,5180.75,Paid
PAY00000075,EMP000013,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-06,126,18,50.23,6328.98,1356.21,0.0,7685.19,1334.67,334.11,6016.41,Paid
PAY00000076,EMP000013,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-05,120,21,50.23,6027.6,1582.24,0.0,7609.84,1855.74,135.41,5618.69,Paid
PAY00000077,EMP000013,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-04,153,0,50.23,7685.19,0.0,0.0,7685.19,1809.3,293.0,5582.89,Paid
PAY00000078,EMP000013,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2026-03,126,20,50.23,6328.98,1506.9,0.0,7835.88,1744.27,399.97,5691.64,Paid
PAY00000079,EMP000014,220063,LOWELL GENERAL HOSPITAL,2026-08,120,5,141.13,16935.6,1058.47,0.0,17994.07,3869.51,124.77,13999.79,Paid
PAY00000080,EMP000014,220063,LOWELL GENERAL HOSPITAL,2026-07,165,15,141.13,23286.45,3175.42,704.55,27166.42,5919.97,158.67,21087.78,On Hold
PAY00000081,EMP000014,220063,LOWELL GENERAL HOSPITAL,2026-06,152,9,141.13,21451.76,1905.26,2473.91,25830.93,5384.26,310.54,20136.13,Paid
PAY00000082,EMP000014,220063,LOWELL GENERAL HOSPITAL,2026-05,150,16,141.13,21169.5,3387.12,581.47,25138.09,4605.55,194.54,20338.0,Paid
PAY00000083,EMP000014,220063,LOWELL GENERAL HOSPITAL,2026-04,130,22,141.13,18346.9,4657.29,0.0,23004.19,3701.78,227.3,19075.11,Paid
PAY00000084,EMP000014,220063,LOWELL GENERAL HOSPITAL,2026-03,158,20,141.13,22298.54,4233.9,2328.38,28860.82,6185.6,229.45,22445.77,Processing
PAY00000085,EMP000015,220175,METROWEST MEDICAL CENTER,2026-08,143,0,147.75,21128.25,0.0,0.0,21128.25,4621.67,319.59,16186.99,Paid
PAY00000086,EMP000015,220175,METROWEST MEDICAL CENTER,2026-07,147,33,147.75,21719.25,7313.62,1734.38,30767.25,6789.7,166.67,23810.88,Paid
PAY00000087,EMP000015,220175,METROWEST MEDICAL CENTER,2026-06,121,16,147.75,17877.75,3546.0,0.0,21423.75,5240.58,403.0,15780.17,Paid
PAY00000088,EMP000015,220175,METROWEST MEDICAL CENTER,2026-05,133,22,147.75,19650.75,4875.75,0.0,24526.5,4414.62,295.51,19816.37,Paid
PAY00000089,EMP000015,220175,METROWEST MEDICAL CENTER,2026-04,162,35,147.75,23935.5,7756.88,0.0,31692.38,7539.77,389.76,23762.85,Paid
PAY00000090,EMP000015,220175,METROWEST MEDICAL CENTER,2026-03,175,33,147.75,25856.25,7313.62,0.0,33169.87,5984.53,310.33,26875.01,Paid
PAY00000091,EMP000016,220033,NORTHEAST HOSPITAL CORPORATION,2026-08,127,31,50.84,6456.68,2364.06,0.0,8820.74,1952.3,203.28,6665.16,Paid
PAY00000092,EMP000016,220033,NORTHEAST HOSPITAL CORPORATION,2026-07,176,24,50.84,8947.84,1830.24,0.0,10778.08,2425.5,247.78,8104.8,Paid
PAY00000093,EMP000016,220033,NORTHEAST HOSPITAL CORPORATION,2026-06,144,31,50.84,7320.96,2364.06,443.49,10128.51,2394.14,387.66,7346.71,Paid
PAY00000094,EMP000016,220033,NORTHEAST HOSPITAL CORPORATION,2026-05,152,5,50.84,7727.68,381.3,1405.57,9514.55,1989.18,176.5,7348.87,Paid
PAY00000095,EMP000016,220033,NORTHEAST HOSPITAL CORPORATION,2026-04,123,5,50.84,6253.32,381.3,1917.39,8552.01,2099.45,163.7,6288.86,Paid
PAY00000096,EMP000016,220033,NORTHEAST HOSPITAL CORPORATION,2026-03,142,14,50.84,7219.28,1067.64,0.0,8286.92,1666.64,327.01,6293.27,Paid
PAY00000097,EMP000017,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,2026-08,142,35,42.73,6067.66,2243.32,0.0,8310.98,1384.1,269.13,6657.75,Paid
PAY00000098,EMP000017,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,2026-07,164,22,42.73,7007.72,1410.09,0.0,8417.81,2044.35,250.73,6122.73,Processing
PAY00000099,EMP000017,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,2026-06,174,23,42.73,7435.02,1474.18,0.0,8909.2,1610.63,433.05,6865.52,Paid
PAY00000100,EMP000017,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,2026-05,146,4,42.73,6238.58,256.38,0.0,6494.96,1423.11,443.97,4627.88,Paid
PAY00000101,EMP000017,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,2026-04,152,7,42.73,6494.96,448.66,0.0,6943.62,1311.77,350.8,5281.05,Paid
PAY00000102,EMP000017,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,2026-03,162,34,42.73,6922.26,2179.23,1378.61,10480.1,2008.75,165.97,8305.38,Paid
PAY00000103,EMP000018,221303,ATHOL MEMORIAL HOSPITAL,2026-08,148,18,215.26,31858.48,5812.02,0.0,37670.5,8165.42,165.42,29339.66,Paid
PAY00000104,EMP000018,221303,ATHOL MEMORIAL HOSPITAL,2026-07,138,6,215.26,29705.88,1937.34,0.0,31643.22,6767.6,330.87,24544.75,Paid
PAY00000105,EMP000018,221303,ATHOL MEMORIAL HOSPITAL,2026-06,157,17,215.26,33795.82,5489.13,1612.64,40897.59,8633.01,208.02,32056.56,Paid
PAY00000106,EMP000018,221303,ATHOL MEMORIAL HOSPITAL,2026-05,159,9,215.26,34226.34,2906.01,2454.73,39587.08,7678.11,120.62,31788.35,Paid
PAY00000107,EMP000018,221303,ATHOL MEMORIAL HOSPITAL,2026-04,159,27,215.26,34226.34,8718.03,1347.98,44292.35,11070.88,365.4,32856.07,Paid
PAY00000108,EMP000018,221303,ATHOL MEMORIAL HOSPITAL,2026-03,120,6,215.26,25831.2,1937.34,0.0,27768.54,6418.62,362.16,20987.76,Paid
PAY00000109,EMP000019,224039,WHITTIER PAVILION,2026-08,128,12,56.66,7252.48,1019.88,0.0,8272.36,1794.59,315.44,6162.33,Paid
PAY00000110,EMP000019,224039,WHITTIER PAVILION,2026-07,171,16,56.66,9688.86,1359.84,0.0,11048.7,1850.92,235.45,8962.33,Paid
PAY00000111,EMP000019,224039,WHITTIER PAVILION,2026-06,137,34,56.66,7762.42,2889.66,0.0,10652.08,1861.11,359.91,8431.06,Paid
PAY00000112,EMP000019,224039,WHITTIER PAVILION,2026-05,157,24,56.66,8895.62,2039.76,2184.22,13119.6,2289.81,196.36,10633.43,Paid
PAY00000113,EMP000019,224039,WHITTIER PAVILION,2026-04,154,2,56.66,8725.64,169.98,1452.75,10348.37,1959.36,197.6,8191.41,Paid
PAY00000114,EMP000019,224039,WHITTIER PAVILION,2026-03,169,30,56.66,9575.54,2549.7,0.0,12125.24,2921.76,232.0,8971.48,Paid
PAY00000115,EMP000020,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,2026-08,138,31,79.2,10929.6,3682.8,0.0,14612.4,3053.23,288.75,11270.42,Paid
PAY00000116,EMP000020,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,2026-07,134,4,79.2,10612.8,475.2,0.0,11088.0,2011.85,434.51,8641.64,Paid
PAY00000117,EMP000020,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,2026-06,158,7,79.2,12513.6,831.6,0.0,13345.2,2549.48,377.1,10418.62,Paid
PAY00000118,EMP000020,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,2026-05,145,16,79.2,11484.0,1900.8,0.0,13384.8,2612.54,394.72,10377.54,Paid
PAY00000119,EMP000020,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,2026-04,138,20,79.2,10929.6,2376.0,845.66,14151.26,2436.03,127.17,11588.06,Processing
PAY00000120,EMP000020,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,2026-03,143,33,79.2,11325.6,3920.4,2220.29,17466.29,4115.49,158.64,13192.16,Paid
PAY00000121,EMP000021,220017,CARNEY HOSPITAL,2026-08,176,5,71.81,12638.56,538.58,0.0,13177.14,2758.88,385.47,10032.79,Paid
PAY00000122,EMP000021,220017,CARNEY HOSPITAL,2026-07,121,22,71.81,8689.01,2369.73,0.0,11058.74,2042.24,312.9,8703.6,Paid
PAY00000123,EMP000021,220017,CARNEY HOSPITAL,2026-06,129,4,71.81,9263.49,430.86,0.0,9694.35,1889.07,177.75,7627.53,Paid
PAY00000124,EMP000021,220017,CARNEY HOSPITAL,2026-05,154,20,71.81,11058.74,2154.3,0.0,13213.04,3248.28,289.25,9675.51,Paid
PAY00000125,EMP000021,220017,CARNEY HOSPITAL,2026-04,169,25,71.81,12135.89,2692.88,0.0,14828.77,3247.97,186.44,11394.36,Paid
PAY00000126,EMP000021,220017,CARNEY HOSPITAL,2026-03,137,18,71.81,9837.97,1938.87,0.0,11776.84,2814.86,131.81,8830.17,Paid
PAY00000127,EMP000022,22009F,NORTHAMPTON VA MEDICAL CENTER,2026-08,130,7,40.2,5226.0,422.1,0.0,5648.1,946.66,316.36,4385.08,Paid
PAY00000128,EMP000022,22009F,NORTHAMPTON VA MEDICAL CENTER,2026-07,172,27,40.2,6914.4,1628.1,0.0,8542.5,1686.5,239.16,6616.84,Paid
PAY00000129,EMP000022,22009F,NORTHAMPTON VA MEDICAL CENTER,2026-06,170,36,40.2,6834.0,2170.8,0.0,9004.8,1621.98,441.77,6941.05,Paid
PAY00000130,EMP000022,22009F,NORTHAMPTON VA MEDICAL CENTER,2026-05,159,26,40.2,6391.8,1567.8,786.2,8745.8,1962.26,233.59,6549.95,Paid
PAY00000131,EMP000022,22009F,NORTHAMPTON VA MEDICAL CENTER,2026-04,164,3,40.2,6592.8,180.9,0.0,6773.7,1199.91,344.9,5228.89,Paid
PAY00000132,EMP000022,22009F,NORTHAMPTON VA MEDICAL CENTER,2026-03,150,35,40.2,6030.0,2110.5,0.0,8140.5,1376.97,359.2,6404.33,Paid
PAY00000133,EMP000023,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,2026-08,173,6,66.53,11509.69,598.77,590.75,12699.21,2607.18,395.25,9696.78,Paid
PAY00000134,EMP000023,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,2026-07,140,32,66.53,9314.2,3193.44,0.0,12507.64,2410.73,424.93,9671.98,On Hold
PAY00000135,EMP000023,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,2026-06,122,21,66.53,8116.66,2095.7,0.0,10212.36,2189.46,338.52,7684.38,Paid
PAY00000136,EMP000023,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,2026-05,165,18,66.53,10977.45,1796.31,336.84,13110.6,2519.38,186.36,10404.86,Paid
PAY00000137,EMP000023,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,2026-04,129,16,66.53,8582.37,1596.72,0.0,10179.09,1892.06,174.19,8112.84,Paid
PAY00000138,EMP000023,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,2026-03,176,12,66.53,11709.28,1197.54,0.0,12906.82,2782.95,263.25,9860.62,Paid
PAY00000139,EMP000024,220008,STURDY MEMORIAL HOSPITAL,2026-08,150,12,53.53,8029.5,963.54,578.58,9571.62,2204.55,206.11,7160.96,Paid
PAY00000140,EMP000024,220008,STURDY MEMORIAL HOSPITAL,2026-07,150,0,53.53,8029.5,0.0,0.0,8029.5,1753.77,420.94,5854.79,Paid
PAY00000141,EMP000024,220008,STURDY MEMORIAL HOSPITAL,2026-06,140,33,53.53,7494.2,2649.74,1302.01,11445.95,2633.96,275.33,8536.66,Paid
PAY00000142,EMP000024,220008,STURDY MEMORIAL HOSPITAL,2026-05,123,25,53.53,6584.19,2007.38,0.0,8591.57,1866.97,211.49,6513.11,Paid
PAY00000143,EMP000024,220008,STURDY MEMORIAL HOSPITAL,2026-04,122,31,53.53,6530.66,2489.14,0.0,9019.8,1752.83,415.79,6851.18,Processing
PAY00000144,EMP000024,220008,STURDY MEMORIAL HOSPITAL,2026-03,170,34,53.53,9100.1,2730.03,0.0,11830.13,2896.2,175.84,8758.09,Processing
PAY00000145,EMP000025,220101,NEWTON-WELLESLEY HOSPITAL,2026-08,142,4,60.3,8562.6,361.8,1278.7,10203.1,2423.96,327.03,7452.11,Paid
PAY00000146,EMP000025,220101,NEWTON-WELLESLEY HOSPITAL,2026-07,157,20,60.3,9467.1,1809.0,0.0,11276.1,2210.13,241.07,8824.9,Paid
PAY00000147,EMP000025,220101,NEWTON-WELLESLEY HOSPITAL,2026-06,147,19,60.3,8864.1,1718.55,0.0,10582.65,2090.56,280.35,8211.74,Paid
PAY00000148,EMP000025,220101,NEWTON-WELLESLEY HOSPITAL,2026-05,124,33,60.3,7477.2,2984.85,0.0,10462.05,1749.7,132.86,8579.49,Paid
PAY00000149,EMP000025,220101,NEWTON-WELLESLEY HOSPITAL,2026-04,141,17,60.3,8502.3,1537.65,2198.03,12237.98,2342.8,377.35,9517.83,Paid
PAY00000150,EMP000025,220101,NEWTON-WELLESLEY HOSPITAL,2026-03,139,22,60.3,8381.7,1989.9,0.0,10371.6,1988.11,296.53,8086.96,Paid
PAY00000151,EMP000026,220036,BOSTON MEDICAL CENTER-BRIGHTON,2026-08,153,12,64.64,9889.92,1163.52,1880.21,12933.65,2184.81,396.31,10352.53,Paid
PAY00000152,EMP000026,220036,BOSTON MEDICAL CENTER-BRIGHTON,2026-07,126,36,64.64,8144.64,3490.56,0.0,11635.2,2412.53,298.68,8923.99,Paid
PAY00000153,EMP000026,220036,BOSTON MEDICAL CENTER-BRIGHTON,2026-06,174,19,64.64,11247.36,1842.24,0.0,13089.6,2616.56,167.13,10305.91,Paid
PAY00000154,EMP000026,220036,BOSTON MEDICAL CENTER-BRIGHTON,2026-05,135,23,64.64,8726.4,2230.08,0.0,10956.48,2149.68,197.95,8608.85,Paid
PAY00000155,EMP000026,220036,BOSTON MEDICAL CENTER-BRIGHTON,2026-04,146,29,64.64,9437.44,2811.84,0.0,12249.28,2926.47,233.88,9088.93,Paid
PAY00000156,EMP000026,220036,BOSTON MEDICAL CENTER-BRIGHTON,2026-03,175,16,64.64,11312.0,1551.36,0.0,12863.36,2618.73,233.96,10010.67,Paid
