request_id,hospital_id,hospital_name,city,state,required_role,department,employment_type,shift_preference,required_staff,filled_staff,open_positions,priority,request_status,request_date,assignment_start_date,assignment_end_date,duration_weeks,hourly_bill_rate
REQ000051,224018,ARBOUR HUMAN RESOURCE INSTITUTE,BROOKLINE,MA,ICU Nurse,Intensive Care Unit,Travel Contract,Night,1,1,0,Medium,Filled,2025-11-26,2026-01-08,2026-04-30,16,150.61
REQ000052,220095,HEYWOOD HOSPITAL -,GARDNER,MA,Emergency Room Nurse,Emergency Department,Travel Contract,Evening,14,7,7,Medium,Partially Filled,2026-05-27,2026-06-30,2026-12-29,26,123.33
REQ000053,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,Emergency Room Nurse,Emergency Department,Permanent Placement,Day,8,4,4,Medium,Partially Filled,2026-01-16,2026-02-18,2026-08-19,26,122.02
REQ000054,221300,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,MA,ICU Nurse,Intensive Care Unit,Permanent Placement,Evening,11,8,3,Low,Partially Filled,2026-02-23,2026-04-03,2026-05-01,4,141.29
REQ000055,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,WESTBOROUGH,MA,Radiologic Technologist,Radiology,Local Contract,Morning,4,2,2,Medium,Partially Filled,2026-06-17,2026-07-22,2026-08-19,4,130.88
REQ000056,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,Registered Nurse,General Nursing,Per Diem,Day,12,2,10,High,Partially Filled,2026-06-19,2026-08-03,2026-09-28,8,91.52
REQ000057,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,PLYMOUTH,MA,Radiologic Technologist,Radiology,Per Diem,Evening,15,9,6,High,Partially Filled,2025-09-30,2025-10-16,2026-01-15,13,150.62
REQ000058,221302,FAIRVIEW HOSPITAL,GREAT BARRINGTON,MA,Radiologic Technologist,Radiology,Local Contract,Day,4,4,0,Medium,Filled,2026-05-10,2026-05-26,2026-08-25,13,137.3
REQ000059,220098,NASHOBA VALLEY MEDICAL CENTER,AYER,MA,Allied Health Professional,Allied Health,Per Diem,Evening,5,5,0,High,Filled,2026-04-17,2026-05-11,2026-06-08,4,121.26
REQ000060,220020,SAINT ANNE'S HOSPITAL,FALL RIVER,MA,Allied Health Professional,Allied Health,Per Diem,Night,7,7,0,Critical,Filled,2026-01-18,2026-03-01,2026-06-21,16,106.72
REQ000061,220090,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,Travel Nurse,Travel Nursing,Permanent Placement,Evening,12,7,5,Critical,Partially Filled,2026-02-27,2026-03-08,2026-05-31,12,170.47
REQ000062,224032,WORCESTER RECOVERY CENTER AND HOSPITAL,WORCESTER,MA,Emergency Room Nurse,Emergency Department,Per Diem,Day,9,9,0,High,Filled,2026-04-11,2026-04-20,2026-06-15,8,130.82
REQ000063,220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,Radiologic Technologist,Radiology,Local Contract,Day,14,10,4,Medium,Partially Filled,2025-08-08,2025-08-24,2025-11-23,13,149.84
REQ000064,220071,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,Physical Therapist,Rehabilitation,Permanent Placement,Morning,2,1,1,High,Partially Filled,2026-07-21,2026-08-22,2027-02-20,26,154.12
REQ000065,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,MA,Laboratory Technician,Laboratory,Per Diem,Night,11,10,1,High,Partially Filled,2025-08-19,2025-08-30,2025-10-25,8,98.38
REQ000066,220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,MILTON,MA,ICU Nurse,Intensive Care Unit,Travel Contract,Morning,5,0,5,High,Open,2026-03-16,2026-04-02,2026-10-01,26,125.54
REQ000067,220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,LAWRENCE,MA,Respiratory Therapist,Respiratory Care,Local Contract,Night,7,2,5,Low,Partially Filled,2025-10-14,2025-11-05,2026-02-25,16,145.96
REQ000068,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,WESTBOROUGH,MA,Travel Nurse,Travel Nursing,Per Diem,Evening,4,3,1,Medium,Partially Filled,2026-04-12,2026-05-26,2026-07-21,8,115.66
REQ000069,220033,NORTHEAST HOSPITAL CORPORATION,BEVERLY,MA,Physician,Medical Services,Per Diem,Morning,2,1,1,High,Partially Filled,2026-07-13,2026-08-23,2026-10-18,8,269.7
REQ000070,220135,FALMOUTH HOSPITAL,FALMOUTH,MA,Radiologic Technologist,Radiology,Travel Contract,Night,14,7,7,Medium,Partially Filled,2026-01-02,2026-01-21,2026-04-22,13,107.13
REQ000071,220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,Physician,Medical Services,Permanent Placement,Morning,1,0,1,High,Open,2025-08-12,2025-09-13,2025-12-06,12,256.11
REQ000072,220070,MELROSEWAKEFIELD HEALTHCARE,MELROSE,MA,Travel Nurse,Travel Nursing,Local Contract,Day,5,5,0,Critical,Filled,2026-06-22,2026-07-11,2026-10-31,16,160.24
REQ000073,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,MA,Radiologic Technologist,Radiology,Travel Contract,Morning,12,2,10,Medium,Partially Filled,2025-08-18,2025-10-01,2025-12-24,12,111.09
REQ000074,220012,CAPE COD HOSPITAL,HYANNIS,MA,Emergency Room Nurse,Emergency Department,Local Contract,Morning,9,4,5,Critical,Partially Filled,2026-05-04,2026-06-03,2026-09-23,16,166.09
REQ000075,220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,Allied Health Professional,Allied Health,Permanent Placement,Morning,3,1,2,Low,Partially Filled,2025-09-28,2025-11-03,2025-12-01,4,117.62
REQ000076,223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,BRIGHTON,MA,Laboratory Technician,Laboratory,Per Diem,Evening,11,11,0,High,Filled,2025-10-03,2025-11-08,2026-01-31,12,133.82
REQ000077,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,Travel Nurse,Travel Nursing,Local Contract,Day,15,10,5,High,Partially Filled,2026-03-30,2026-04-07,2026-07-28,16,147.5
REQ000078,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,WORCESTER,MA,Respiratory Therapist,Respiratory Care,Permanent Placement,Day,1,1,0,Low,Filled,2025-09-29,2025-10-14,2025-11-11,4,147.11
REQ000079,220031,BOSTON MEDICAL CENTER,BOSTON,MA,Respiratory Therapist,Respiratory Care,Permanent Placement,Night,12,11,1,High,Partially Filled,2026-03-21,2026-04-20,2026-10-19,26,130.84
REQ000080,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,MA,Physical Therapist,Rehabilitation,Local Contract,Evening,12,5,7,Medium,Partially Filled,2026-02-25,2026-03-21,2026-04-18,4,108.53
REQ000081,220066,MERCY MEDICAL CTR,SPRINGFIELD,MA,ICU Nurse,Intensive Care Unit,Travel Contract,Evening,15,11,4,Medium,Partially Filled,2026-07-18,2026-08-17,2026-12-07,16,172.77
REQ000082,22009F,NORTHAMPTON VA MEDICAL CENTER,LEEDS,MA,ICU Nurse,Intensive Care Unit,Travel Contract,Day,11,9,2,High,Partially Filled,2026-07-06,2026-07-26,2027-01-24,26,122.05
REQ000083,223302,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Physical Therapist,Rehabilitation,Local Contract,Night,4,4,0,Medium,Filled,2025-11-14,2025-11-25,2026-03-17,16,102.33
REQ000084,22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,JAMAICA PLAIN,MA,Registered Nurse,General Nursing,Local Contract,Day,9,4,5,High,Partially Filled,2025-12-20,2026-01-05,2026-03-02,8,86.8
REQ000085,220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,Allied Health Professional,Allied Health,Per Diem,Day,1,0,1,Medium,Open,2025-11-30,2026-01-13,2026-04-07,12,119.47
REQ000086,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,PLYMOUTH,MA,ICU Nurse,Intensive Care Unit,Travel Contract,Evening,9,9,0,Medium,Filled,2026-04-01,2026-05-06,2026-07-29,12,171.18
REQ000087,221303,ATHOL MEMORIAL HOSPITAL,ATHOL,MA,Laboratory Technician,Laboratory,Permanent Placement,Evening,1,0,1,Medium,Open,2026-01-02,2026-02-07,2026-08-08,26,75.56
REQ000088,221304,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,NORTH ADAMS,MA,ICU Nurse,Intensive Care Unit,Local Contract,Morning,3,0,3,High,Open,2025-09-11,2025-10-08,2026-01-28,16,145.98
REQ000089,221300,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,MA,Respiratory Therapist,Respiratory Care,Permanent Placement,Day,8,8,0,High,Filled,2026-06-02,2026-07-12,2026-10-04,12,93.01
REQ000090,224032,WORCESTER RECOVERY CENTER AND HOSPITAL,WORCESTER,MA,Laboratory Technician,Laboratory,Permanent Placement,Morning,15,7,8,High,Partially Filled,2025-11-19,2025-12-23,2026-03-24,13,95.91
REQ000091,220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,MILTON,MA,Allied Health Professional,Allied Health,Local Contract,Evening,5,2,3,Low,Partially Filled,2026-03-07,2026-04-03,2026-10-02,26,148.22
REQ000092,220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,MA,Respiratory Therapist,Respiratory Care,Per Diem,Day,9,0,9,Medium,Open,2025-09-19,2025-10-19,2025-12-14,8,146.15
REQ000093,220088,NEW ENGLAND BAPTIST HOSPITAL,BOSTON,MA,Registered Nurse,General Nursing,Local Contract,Night,6,0,6,High,Open,2025-12-26,2026-02-09,2026-05-04,12,100.7
REQ000094,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,Allied Health Professional,Allied Health,Local Contract,Evening,13,4,9,High,Partially Filled,2026-05-12,2026-06-11,2026-07-09,4,158.22
REQ000095,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,WESTBOROUGH,MA,Physical Therapist,Rehabilitation,Per Diem,Day,10,10,0,Medium,Filled,2026-07-12,2026-08-23,2026-09-20,4,141.19
REQ000096,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,MA,Allied Health Professional,Allied Health,Permanent Placement,Day,14,2,12,Medium,Partially Filled,2026-01-27,2026-02-03,2026-03-31,8,134.32
REQ000097,224018,ARBOUR HUMAN RESOURCE INSTITUTE,BROOKLINE,MA,ICU Nurse,Intensive Care Unit,Per Diem,Night,7,7,0,Medium,Filled,2026-04-29,2026-05-19,2026-08-18,13,155.51
REQ000098,220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,SOUTHBRIDGE,MA,Physical Therapist,Rehabilitation,Travel Contract,Morning,3,0,3,Medium,Open,2025-09-13,2025-09-23,2025-11-18,8,121.68
REQ000099,224047,VALLEY SPRINGS BEHAVIORAL HEALTH HOSPITAL,HOLYOKE,MA,Radiologic Technologist,Radiology,Travel Contract,Morning,13,8,5,Medium,Partially Filled,2026-03-01,2026-03-25,2026-05-20,8,101.83
REQ000100,220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,WORCESTER,MA,Radiologic Technologist,Radiology,Travel Contract,Day,4,3,1,Medium,Partially Filled,2026-04-27,2026-05-23,2026-06-20,4,148.17
REQ000101,220031,BOSTON MEDICAL CENTER,BOSTON,MA,Physician,Medical Services,Permanent Placement,Night,1,1,0,Medium,Filled,2025-12-27,2026-01-23,2026-02-20,4,277.28
REQ000102,224040,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,BOSTON,MA,Laboratory Technician,Laboratory,Permanent Placement,Day,7,0,7,Medium,Open,2026-05-14,2026-06-12,2026-07-10,4,73.45
REQ000103,220063,LOWELL GENERAL HOSPITAL,LOWELL,MA,Physical Therapist,Rehabilitation,Permanent Placement,Morning,12,10,2,Medium,Partially Filled,2026-03-08,2026-04-20,2026-07-20,13,93.46
REQ000104,221300,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,MA,Emergency Room Nurse,Emergency Department,Travel Contract,Evening,15,11,4,High,Partially Filled,2026-06-13,2026-07-19,2027-01-17,26,117.03
REQ000105,220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,WORCESTER,MA,Respiratory Therapist,Respiratory Care,Per Diem,Night,14,4,10,Medium,Partially Filled,2026-04-26,2026-05-08,2026-08-07,13,96.77
REQ000106,220074,SOUTHCOAST HOSPITALS GROUP,FALL RIVER,MA,ICU Nurse,Intensive Care Unit,Per Diem,Night,15,11,4,Medium,Partially Filled,2026-04-29,2026-06-07,2026-08-02,8,115.25
REQ000107,220012,CAPE COD HOSPITAL,HYANNIS,MA,Emergency Room Nurse,Emergency Department,Permanent Placement,Evening,2,0,2,High,Open,2026-06-05,2026-06-21,2026-12-20,26,153.19
REQ000108,220035,NORTH SHORE MEDICAL CENTER -,SALEM,MA,Physical Therapist,Rehabilitation,Permanent Placement,Day,6,1,5,Medium,Partially Filled,2026-06-26,2026-07-23,2027-01-21,26,136.2
REQ000109,220095,HEYWOOD HOSPITAL -,GARDNER,MA,Physical Therapist,Rehabilitation,Permanent Placement,Evening,2,1,1,Low,Partially Filled,2025-08-29,2025-09-27,2026-01-17,16,117.81
REQ000110,220080,HOLY FAMILY HOSPITAL,METHUEN,MA,ICU Nurse,Intensive Care Unit,Permanent Placement,Evening,10,8,2,High,Partially Filled,2026-06-27,2026-07-09,2026-10-29,16,171.8
REQ000111,221303,ATHOL MEMORIAL HOSPITAL,ATHOL,MA,Radiologic Technologist,Radiology,Local Contract,Day,10,7,3,Medium,Partially Filled,2026-05-20,2026-06-08,2026-08-31,12,138.77
REQ000112,220071,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,ICU Nurse,Intensive Care Unit,Permanent Placement,Night,4,3,1,Medium,Partially Filled,2026-04-16,2026-05-04,2026-06-01,4,169.26
REQ000113,220090,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,Respiratory Therapist,Respiratory Care,Per Diem,Day,13,10,3,Medium,Partially Filled,2026-01-21,2026-03-07,2026-04-04,4,124.06
REQ000114,220090,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,Physician,Medical Services,Local Contract,Morning,6,0,6,Medium,Open,2025-12-08,2026-01-22,2026-03-19,8,285.92
REQ000115,224046,MIRAVISTA BEHAVIORAL HEALTH CENTER,HOLYOKE,MA,Emergency Room Nurse,Emergency Department,Per Diem,Night,9,6,3,High,Partially Filled,2026-06-01,2026-06-13,2026-09-05,12,158.03
REQ000116,220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,ICU Nurse,Intensive Care Unit,Per Diem,Morning,6,0,6,Medium,Open,2026-06-27,2026-07-31,2026-11-20,16,119.99
REQ000117,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,MA,Travel Nurse,Travel Nursing,Travel Contract,Day,2,1,1,High,Partially Filled,2025-11-24,2025-12-09,2026-02-03,8,176.35
REQ000118,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,WESTBOROUGH,MA,Emergency Room Nurse,Emergency Department,Local Contract,Evening,3,1,2,Low,Partially Filled,2026-06-02,2026-07-03,2026-08-28,8,125.5
REQ000119,220084,EMERSON HOSPITAL -,W CONCORD,MA,Radiologic Technologist,Radiology,Local Contract,Night,13,7,6,Medium,Partially Filled,2026-06-09,2026-07-04,2027-01-02,26,138.6
REQ000120,220126,NORWOOD HOSPITAL,NORWOOD,MA,Travel Nurse,Travel Nursing,Permanent Placement,Evening,8,4,4,Critical,Partially Filled,2026-02-05,2026-03-20,2026-06-19,13,172.18
REQ000121,224047,VALLEY SPRINGS BEHAVIORAL HEALTH HOSPITAL,HOLYOKE,MA,Emergency Room Nurse,Emergency Department,Travel Contract,Day,8,5,3,Medium,Partially Filled,2025-12-07,2025-12-17,2026-06-17,26,153.42
REQ000122,220111,GOOD SAMARITAN MEDICAL CENTER,BROCKTON,MA,Radiologic Technologist,Radiology,Permanent Placement,Morning,2,0,2,Critical,Open,2026-04-20,2026-05-06,2026-08-05,13,111.04
REQ000123,224046,MIRAVISTA BEHAVIORAL HEALTH CENTER,HOLYOKE,MA,Laboratory Technician,Laboratory,Local Contract,Day,2,1,1,Medium,Partially Filled,2026-02-08,2026-03-02,2026-06-01,13,74.94
